artist,artist_genre_scrape,artist_lyric_scape,collaboration,song,song_genre_scrape,song_lyric_scrape,year
Calvin Harris Featuring Ne-Yo,calvin+harris,calvinharris,1,Let's Go,let's+go,let'sgo,2012
Carrie Underwood,carrie+underwood,carrieunderwood,0,Good Girl,good+girl,goodgirl,2012
Little Big Town,little+big+town,littlebigtown,0,Pontoon,pontoon,pontoon,2012
The Lumineers,the+lumineers,thelumineers,0,Ho Hey,ho+hey,hohey,2012
Coldplay,coldplay,coldplay,0,Paradise,paradise,paradise,2012
Carrie Underwood,carrie+underwood,carrieunderwood,0,Blown Away,blown+away,blownaway,2012
Adele,adele,adele,0,Rolling In The Deep,rolling+in+the+deep,rollinginthedeep,2012
Usher,usher,usher,0,Climax,climax,climax,2012
Wiz Khalifa,wiz+khalifa,wizkhalifa,0,"Work Hard, Play Hard","work+hard,+play+hard","workhard,playhard",2012
Ne-Yo,ne-yo,ne-yo,0,Let Me Love You (Until You Learn To Love Yourself),let+me+love+you+(until+you+learn+to+love+yourself),letmeloveyou(untilyoulearntoloveyourself),2012
Nicki Minaj,nicki+minaj,nickiminaj,0,Pound The Alarm,pound+the+alarm,poundthealarm,2012
Kenny Chesney,kenny+chesney,kennychesney,0,Come Over,come+over,comeover,2012
Trey Songz,trey+songz,treysongz,0,Heart Attack,heart+attack,heartattack,2012
Kirko Bangz,kirko+bangz,kirkobangz,0,Drank In My Cup,drank+in+my+cup,drankinmycup,2012
Rihanna Featuring Chris Brown,rihanna,rihanna,1,Birthday Cake,birthday+cake,birthdaycake,2012
B.o.B,b.o.b,b.o.b,0,So Good,so+good,sogood,2012
Train,train,train,0,50 Ways To Say Goodbye,50+ways+to+say+goodbye,50waystosaygoodbye,2012
Toby Keith,toby+keith,tobykeith,0,Red Solo Cup,red+solo+cup,redsolocup,2012
Selena Gomez & The Scene,selena+gomez,selenagomez,1,Love You Like A Love Song,love+you+like+a+love+song,loveyoulikealovesong,2012
Chris Brown,chris+brown,chrisbrown,0,Turn Up The Music,turn+up+the+music,turnupthemusic,2012
Ke$ha,ke$ha,ke$ha,0,Die Young,die+young,dieyoung,2012
T-Pain Featuring Wiz Khalifa & Lily Allen,t-pain,t-pain,1,5 O'Clock,5+o'clock,5o'clock,2012
Christina Perri,christina+perri,christinaperri,0,A Thousand Years,a+thousand+years,athousandyears,2012
Jason Aldean,jason+aldean,jasonaldean,0,Take A Little Ride,take+a+little+ride,takealittleride,2012
Rihanna,rihanna,rihanna,0,You Da One,you+da+one,youdaone,2012
Havana Brown Featuring Pitbull,havana+brown,havanabrown,1,We Run The Night,we+run+the+night,werunthenight,2012
Imagine Dragons,imagine+dragons,imaginedragons,0,It's Time,it's+time,it'stime,2012
Ca$h Out,ca$h+out,ca$hout,0,Cashin' Out,cashin'+out,cashin'out,2012
Luke Bryan,luke+bryan,lukebryan,0,I Don't Want This Night To End,i+don't+want+this+night+to+end,idon'twantthisnighttoend,2012
Rihanna,rihanna,rihanna,0,Diamonds,diamonds,diamonds,2012
Lee Brice,lee+brice,leebrice,0,Hard To Love,hard+to+love,hardtolove,2012
Kip Moore,kip+moore,kipmoore,0,Somethin' 'Bout A Truck,somethin'+'bout+a+truck,somethin''boutatruck,2012
Miguel,miguel,miguel,0,Adorn,adorn,adorn,2012
Jason Aldean,jason+aldean,jasonaldean,0,Fly Over States,fly+over+states,flyoverstates,2012
Eli Young Band,eli+young+band,eliyoungband,0,Even If It Breaks Your Heart,even+if+it+breaks+your+heart,evenifitbreaksyourheart,2012
Linkin Park,linkin+park,linkinpark,0,Burn It Down,burn+it+down,burnitdown,2012
Adele,adele,adele,0,Rolling In The Deep,rolling+in+the+deep,rollinginthedeep,2011
LMFAO Featuring Lauren Bennett & GoonRock,lmfao,lmfao,1,Party Rock Anthem,party+rock+anthem,partyrockanthem,2011
Katy Perry,katy+perry,katyperry,0,Firework,firework,firework,2011
Katy Perry Featuring Kanye West,katy+perry,katyperry,1,E.T.,e.t.,e.t.,2011
"Pitbull Featuring Ne-Yo, Afrojack & Nayer",pitbull,pitbull,1,Give Me Everything,give+me+everything,givemeeverything,2011
Bruno Mars,bruno+mars,brunomars,0,Grenade,grenade,grenade,2011
Nicki Minaj,nicki+minaj,nickiminaj,0,Super Bass,super+bass,superbass,2011
Maroon 5 Featuring Christina Aguilera,maroon+5,maroon5,1,Moves Like Jagger,moves+like+jagger,moveslikejagger,2011
The Black Eyed Peas,the+black+eyed+peas,theblackeyedpeas,0,Just Can't Get Enough,just+can't+get+enough,justcan'tgetenough,2011
Jennifer Lopez Featuring Pitbull,jennifer+lopez,jenniferlopez,1,On The Floor,on+the+floor,onthefloor,2011
Rihanna,rihanna,rihanna,0,S&M,s&m,s&m,2011
Foster The People,foster+the+people,fosterthepeople,0,Pumped Up Kicks,pumped+up+kicks,pumpedupkicks,2011
Katy Perry,katy+perry,katyperry,0,Last Friday Night (T.G.I.F.),last+friday+night+(t.g.i.f.),lastfridaynight(t.g.i.f.),2011
Bruno Mars,bruno+mars,brunomars,0,Just The Way You Are,just+the+way+you+are,justthewayyouare,2011
Enrique Iglesias Featuring Ludacris & DJ Frank E,enrique+iglesias,enriqueiglesias,1,Tonight (I'm Lovin' You),tonight+(i'm+lovin'+you),tonight(i'mlovin'you),2011
P!nk,p!nk,p!nk,0,Raise Your Glass,raise+your+glass,raiseyourglass,2011
Lady Gaga,lady+gaga,ladygaga,0,Born This Way,born+this+way,bornthisway,2011
P!nk,p!nk,p!nk,0,F**kin' Perfect,f**kin'+perfect,f**kin'perfect,2011
Rihanna Featuring Drake,rihanna,rihanna,1,What's My Name?,what's+my+name?,what'smyname?,2011
Chris Brown Featuring Lil Wayne & Busta Rhymes,chris+brown,chrisbrown,1,Look At Me Now,look+at+me+now,lookatmenow,2011
Jeremih Featuring 50 Cent,jeremih,jeremih,1,Down On Me,down+on+me,downonme,2011
Lil Wayne,lil+wayne,lilwayne,0,How To Love,how+to+love,howtolove,2011
Adele,adele,adele,0,Someone Like You,someone+like+you,someonelikeyou,2011
OneRepublic,onerepublic,onerepublic,0,Good Life,good+life,goodlife,2011
Bruno Mars,bruno+mars,brunomars,0,The Lazy Song,the+lazy+song,thelazysong,2011
Britney Spears,britney+spears,britneyspears,0,Till The World Ends,till+the+world+ends,tilltheworldends,2011
Lupe Fiasco,lupe+fiasco,lupefiasco,0,The Show Goes On,the+show+goes+on,theshowgoeson,2011
Lady Gaga,lady+gaga,ladygaga,0,The Edge Of Glory,the+edge+of+glory,theedgeofglory,2011
Ke$ha,ke$ha,ke$ha,0,We R Who We R,we+r+who+we+r,werwhower,2011
Wiz Khalifa,wiz+khalifa,wizkhalifa,0,Black And Yellow,black+and+yellow,blackandyellow,2011
Hot Chelle Rae,hot+chelle+rae,hotchellerae,0,Tonight Tonight,tonight+tonight,tonighttonight,2011
Ke$ha,ke$ha,ke$ha,0,Blow,blow,blow,2011
Bad Meets Evil Featuring Bruno Mars,bad+meets+evil,badmeetsevil,1,Lighters,lighters,lighters,2011
The Band Perry,the+band+perry,thebandperry,0,If I Die Young,if+i+die+young,ifidieyoung,2011
Gym Class Heroes Featuring Adam Levine,gym+class+heroes,gymclassheroes,1,Stereo Hearts,stereo+hearts,stereohearts,2011
The Black Eyed Peas,the+black+eyed+peas,theblackeyedpeas,0,The Time (Dirty Bit),the+time+(dirty+bit),thetime(dirtybit),2011
Diddy - Dirty Money Featuring Skylar Grey,diddy+-+dirty+money,diddy-dirtymoney,1,Coming Home,coming+home,cominghome,2011
Pitbull Featuring T-Pain,pitbull,pitbull,1,Hey Baby (Drop It To The Floor),hey+baby+(drop+it+to+the+floor),heybaby(dropittothefloor),2011
Rihanna,rihanna,rihanna,0,Only Girl (In The World),only+girl+(in+the+world),onlygirl(intheworld),2011
Lil Wayne Featuring Cory Gunz,lil+wayne,lilwayne,1,6 Foot 7 Foot,6+foot+7+foot,6foot7foot,2011
Lady Antebellum,lady+antebellum,ladyantebellum,0,Just A Kiss,just+a+kiss,justakiss,2011
Jason Aldean,jason+aldean,jasonaldean,0,Dirt Road Anthem,dirt+road+anthem,dirtroadanthem,2011
Taio Cruz,taio+cruz,taiocruz,0,Dynamite,dynamite,dynamite,2011
Waka Flocka Flame Featuring Roscoe Dash & Wale,waka+flocka+flame,wakaflockaflame,1,No Hands,no+hands,nohands,2011
Britney Spears,britney+spears,britneyspears,0,I Wanna Go,i+wanna+go,iwannago,2011
"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",dj+khaled,djkhaled,1,I'm On One,i'm+on+one,i'monone,2011
Cobra Starship Featuring Sabi,cobra+starship,cobrastarship,1,You Make Me Feel...,you+make+me+feel...,youmakemefeel...,2011
Chris Brown,chris+brown,chrisbrown,0,Yeah 3X,yeah+3x,yeah3x,2011
Nicki Minaj Featuring Drake,nicki+minaj,nickiminaj,1,Moment 4 Life,moment+4+life,moment4life,2011
Dr. Dre Featuring Eminem & Skylar Grey,dr.+dre,dr.dre,1,I Need A Doctor,i+need+a+doctor,ineedadoctor,2011
Nelly,nelly,nelly,0,Just A Dream,just+a+dream,justadream,2011
Kelly Rowland Featuring Lil Wayne,kelly+rowland,kellyrowland,1,Motivation,motivation,motivation,2011
Edward Maya & Vika Jigulina,edward+maya,edwardmaya,1,Stereo Love,stereo+love,stereolove,2011
Christina Perri,christina+perri,christinaperri,0,Jar Of Hearts,jar+of+hearts,jarofhearts,2011
Wiz Khalifa,wiz+khalifa,wizkhalifa,0,Roll Up,roll+up,rollup,2011
LMFAO,lmfao,lmfao,0,Sexy And I Know It,sexy+and+i+know+it,sexyandiknowit,2011
Far*East Movement Featuring Ryan Tedder,far*east+movement,far*eastmovement,1,Rocketeer,rocketeer,rocketeer,2011
Kanye West,kanye+west,kanyewest,0,All Of The Lights,all+of+the+lights,allofthelights,2011
Britney Spears,britney+spears,britneyspears,0,Hold It Against Me,hold+it+against+me,holditagainstme,2011
Usher,usher,usher,0,More,more,more,2011
Avril Lavigne,avril+lavigne,avrillavigne,0,What The Hell,what+the+hell,whatthehell,2011
Tinie Tempah Featuring Eric Turner,tinie+tempah,tinietempah,1,Written In The Stars,written+in+the+stars,writteninthestars,2011
Trey Songz Featuring Nicki Minaj,trey+songz,treysongz,1,Bottoms Up,bottoms+up,bottomsup,2011
Usher Featuring Pitbull,usher,usher,1,DJ Got Us Fallin' In Love,dj+got+us+fallin'+in+love,djgotusfallin'inlove,2011
The Script,the+script,thescript,0,For The First Time,for+the+first+time,forthefirsttime,2011
Blake Shelton,blake+shelton,blakeshelton,0,Honey Bee,honey+bee,honeybee,2011
Jason Aldean With Kelly Clarkson,jason+aldean+with+kelly+clarkson,jasonaldeanwithkellyclarkson,0,Don't You Wanna Stay,don't+you+wanna+stay,don'tyouwannastay,2011
Rihanna Featuring Calvin Harris,rihanna,rihanna,1,We Found Love,we+found+love,wefoundlove,2011
Keri Hilson,keri+hilson,kerihilson,0,Pretty Girl Rock,pretty+girl+rock,prettygirlrock,2011
Lady Gaga,lady+gaga,ladygaga,0,You And I,you+and+i,youandi,2011
Far*East Movement Featuring Cataracs & Dev,far*east+movement,far*eastmovement,1,Like A G6,like+a+g6,likeag6,2011
David Guetta Featuring Usher,david+guetta,davidguetta,1,Without You,without+you,withoutyou,2011
Taylor Swift,taylor+swift,taylorswift,0,Back To December,back+to+december,backtodecember,2011
Katy Perry,katy+perry,katyperry,0,Teenage Dream,teenage+dream,teenagedream,2011
Eli Young Band,eli+young+band,eliyoungband,0,Crazy Girl,crazy+girl,crazygirl,2011
Rihanna,rihanna,rihanna,0,Cheers (Drink To That),cheers+(drink+to+that),cheers(drinktothat),2011
Selena Gomez & The Scene,selena+gomez,selenagomez,1,Who Says,who+says,whosays,2011
Jake Owen,jake+owen,jakeowen,0,Barefoot Blue Jean Night,barefoot+blue+jean+night,barefootbluejeannight,2011
Zac Brown Band Featuring Jimmy Buffett,zac+brown+band,zacbrownband,1,Knee Deep,knee+deep,kneedeep,2011
Luke Bryan,luke+bryan,lukebryan,0,Country Girl (Shake It For Me),country+girl+(shake+it+for+me),countrygirl(shakeitforme),2011
Brad Paisley Duet With Carrie Underwood,brad+paisley+duet+with+carrie+underwood,bradpaisleyduetwithcarrieunderwood,0,Remind Me,remind+me,remindme,2011
Dev,dev,dev,0,In The Dark,in+the+dark,inthedark,2011
New Boyz Featuring The Cataracs & Dev,new+boyz,newboyz,1,Backseat,backseat,backseat,2011
Drake,drake,drake,0,Headlines,headlines,headlines,2011
Beyonce,beyonce,beyonce,0,Best Thing I Never Had,best+thing+i+never+had,bestthingineverhad,2011
Jason Derulo,jason+derulo,jasonderulo,0,Don't Wanna Go Home,don't+wanna+go+home,don'twannagohome,2011
David Guetta Featuring Flo Rida & Nicki Minaj,david+guetta,davidguetta,1,Where Them Girls At,where+them+girls+at,wherethemgirlsat,2011
Chris Brown,chris+brown,chrisbrown,0,She Ain't You,she+ain't+you,sheain'tyou,2011
Rodney Atkins,rodney+atkins,rodneyatkins,0,Take A Back Road,take+a+back+road,takeabackroad,2011
Mike Posner,mike+posner,mikeposner,0,Please Don't Go,please+don't+go,pleasedon'tgo,2011
Miguel,miguel,miguel,0,Sure Thing,sure+thing,surething,2011
Jessie J Featuring B.o.B,jessie+j,jessiej,1,Price Tag,price+tag,pricetag,2011
Blake Shelton,blake+shelton,blakeshelton,0,God Gave Me You,god+gave+me+you,godgavemeyou,2011
Lil Wayne Featuring Drake,lil+wayne,lilwayne,1,She Will,she+will,shewill,2011
Thompson Square,thompson+square,thompsonsquare,0,Are You Gonna Kiss Me Or Not,are+you+gonna+kiss+me+or+not,areyougonnakissmeornot,2011
Neon Trees,neon+trees,neontrees,0,Animal,animal,animal,2011
Kenny Chesney Featuring Grace Potter,kenny+chesney,kennychesney,1,You And Tequila,you+and+tequila,youandtequila,2011
Zac Brown Band,zac+brown+band,zacbrownband,0,Colder Weather,colder+weather,colderweather,2011
Big Sean Featuring Chris Brown,big+sean,bigsean,1,My Last,my+last,mylast,2011
Ke$ha,ke$ha,ke$ha,0,TiK ToK,tik+tok,tiktok,2010
Lady Antebellum,lady+antebellum,ladyantebellum,0,Need You Now,need+you+now,needyounow,2010
Train,train,train,0,"Hey, Soul Sister","hey,+soul+sister","hey,soulsister",2010
Katy Perry Featuring Snoop Dogg,katy+perry,katyperry,1,California Gurls,california+gurls,californiagurls,2010
Usher Featuring will.i.am,usher,usher,1,OMG,omg,omg,2010
B.o.B Featuring Hayley Williams,b.o.b,b.o.b,1,Airplanes,airplanes,airplanes,2010
Eminem Featuring Rihanna,eminem,eminem,1,Love The Way You Lie,love+the+way+you+lie,lovethewayyoulie,2010
Lady Gaga,lady+gaga,ladygaga,0,Bad Romance,bad+romance,badromance,2010
Taio Cruz,taio+cruz,taiocruz,0,Dynamite,dynamite,dynamite,2010
Taio Cruz Featuring Ludacris,taio+cruz,taiocruz,1,Break Your Heart,break+your+heart,breakyourheart,2010
B.o.B Featuring Bruno Mars,b.o.b,b.o.b,1,Nothin' On You,nothin'+on+you,nothin'onyou,2010
Enrique Iglesias Featuring Pitbull,enrique+iglesias,enriqueiglesias,1,I Like It,i+like+it,ilikeit,2010
Young Money Featuring Lloyd,young+money,youngmoney,1,BedRock,bedrock,bedrock,2010
Jason Derulo,jason+derulo,jasonderulo,0,In My Head,in+my+head,inmyhead,2010
Rihanna,rihanna,rihanna,0,Rude Boy,rude+boy,rudeboy,2010
Lady Gaga Featuring Beyonce,lady+gaga,ladygaga,1,Telephone,telephone,telephone,2010
Katy Perry,katy+perry,katyperry,0,Teenage Dream,teenage+dream,teenagedream,2010
Bruno Mars,bruno+mars,brunomars,0,Just The Way You Are,just+the+way+you+are,justthewayyouare,2010
Mike Posner,mike+posner,mikeposner,0,Cooler Than Me,cooler+than+me,coolerthanme,2010
The Black Eyed Peas,the+black+eyed+peas,theblackeyedpeas,0,Imma Be,imma+be,immabe,2010
Jay-Z + Alicia Keys,jay-z+++alicia+keys,jay-z+aliciakeys,0,Empire State Of Mind,empire+state+of+mind,empirestateofmind,2010
Usher Featuring Pitbull,usher,usher,1,DJ Got Us Fallin' In Love,dj+got+us+fallin'+in+love,djgotusfallin'inlove,2010
Travie McCoy Featuring Bruno Mars,travie+mccoy,traviemccoy,1,Billionaire,billionaire,billionaire,2010
Eminem,eminem,eminem,0,Not Afraid,not+afraid,notafraid,2010
Iyaz,iyaz,iyaz,0,Replay,replay,replay,2010
David Guetta Featuring Akon,david+guetta,davidguetta,1,Sexy Chick,sexy+chick,sexychick,2010
The Script,the+script,thescript,0,Breakeven,breakeven,breakeven,2010
Ke$ha,ke$ha,ke$ha,0,Your Love Is My Drug,your+love+is+my+drug,yourloveismydrug,2010
The Black Eyed Peas,the+black+eyed+peas,theblackeyedpeas,0,I Gotta Feeling,i+gotta+feeling,igottafeeling,2010
Owl City,owl+city,owlcity,0,Fireflies,fireflies,fireflies,2010
Trey Songz Featuring Fabolous,trey+songz,treysongz,1,Say Aah,say+aah,sayaah,2010
Drake,drake,drake,0,Find Your Love,find+your+love,findyourlove,2010
Lady Gaga,lady+gaga,ladygaga,0,Alejandro,alejandro,alejandro,2010
Jason Derulo,jason+derulo,jasonderulo,0,Ridin' Solo,ridin'+solo,ridin'solo,2010
Nelly,nelly,nelly,0,Just A Dream,just+a+dream,justadream,2010
Ludacris,ludacris,ludacris,0,How Low,how+low,howlow,2010
Far*East Movement Featuring Cataracs & Dev,far*east+movement,far*eastmovement,1,Like A G6,like+a+g6,likeag6,2010
Timbaland Featuring Justin Timberlake,timbaland,timbaland,1,Carry Out,carry+out,carryout,2010
Michael Buble,michael+buble,michaelbuble,0,Haven't Met You Yet,haven't+met+you+yet,haven'tmetyouyet,2010
Flo Rida Featuring David Guetta,flo+rida,florida,1,Club Can't Handle Me,club+can't+handle+me,clubcan'thandleme,2010
Jay Sean Featuring Lil Wayne,jay+sean,jaysean,1,Down,down,down,2010
La Roux,la+roux,laroux,0,Bulletproof,bulletproof,bulletproof,2010
Jason Derulo,jason+derulo,jasonderulo,0,Whatcha Say,whatcha+say,whatchasay,2010
Justin Bieber Featuring Ludacris,justin+bieber,justinbieber,1,Baby,baby,baby,2010
Adam Lambert,adam+lambert,adamlambert,0,Whataya Want From Me,whataya+want+from+me,whatayawantfromme,2010
Taylor Swift,taylor+swift,taylorswift,0,Mine,mine,mine,2010
Rihanna,rihanna,rihanna,0,Only Girl (In The World),only+girl+(in+the+world),onlygirl(intheworld),2010
Kris Allen,kris+allen,krisallen,0,Live Like We're Dying,live+like+we're+dying,livelikewe'redying,2010
Rihanna Featuring Jeezy,rihanna,rihanna,1,Hard,hard,hard,2010
Jay-Z + Mr. Hudson,jay-z+++mr.+hudson,jay-z+mr.hudson,0,Young Forever,young+forever,youngforever,2010
Ke$ha Featuring 3OH!3,ke$ha,ke$ha,1,Blah Blah Blah,blah+blah+blah,blahblahblah,2010
Trey Songz Featuring Nicki Minaj,trey+songz,treysongz,1,Bottoms Up,bottoms+up,bottomsup,2010
Jay Sean Featuring Sean Paul & Lil Jon,jay+sean,jaysean,1,Do You Remember,do+you+remember,doyouremember,2010
OneRepublic,onerepublic,onerepublic,0,All The Right Moves,all+the+right+moves,alltherightmoves,2010
Orianthi,orianthi,orianthi,0,According To You,according+to+you,accordingtoyou,2010
Ludacris Featuring Nicki Minaj,ludacris,ludacris,1,My Chick Bad,my+chick+bad,mychickbad,2010
Taylor Swift,taylor+swift,taylorswift,0,You Belong With Me,you+belong+with+me,youbelongwithme,2010
The Black Eyed Peas,the+black+eyed+peas,theblackeyedpeas,0,Meet Me Halfway,meet+me+halfway,meetmehalfway,2010
Ke$ha,ke$ha,ke$ha,0,Take It Off,take+it+off,takeitoff,2010
Drake,drake,drake,0,Over,over,over,2010
Neon Trees,neon+trees,neontrees,0,Animal,animal,animal,2010
Maroon 5,maroon+5,maroon5,0,Misery,misery,misery,2010
B.o.B Featuring Rivers Cuomo,b.o.b,b.o.b,1,Magic,magic,magic,2010
Lady Gaga,lady+gaga,ladygaga,0,Paparazzi,paparazzi,paparazzi,2010
New Boyz Featuring Ray J,new+boyz,newboyz,1,Tie Me Down,tie+me+down,tiemedown,2010
Nicki Minaj,nicki+minaj,nickiminaj,0,Your Love,your+love,yourlove,2010
Miley Cyrus,miley+cyrus,mileycyrus,0,Party In The U.S.A.,party+in+the+u.s.a.,partyintheu.s.a.,2010
Chris Brown Featuring Tyga & Kevin McCall,chris+brown,chrisbrown,1,Deuces,deuces,deuces,2010
Britney Spears,britney+spears,britneyspears,0,3,3,3,2010
Shontelle,shontelle,shontelle,0,Impossible,impossible,impossible,2010
"Drake Featuring Kanye West, Lil Wayne & Eminem",drake,drake,1,Forever,forever,forever,2010
Boys Like Girls Featuring Taylor Swift,boys+like+girls,boyslikegirls,1,Two Is Better Than One,two+is+better+than+one,twoisbetterthanone,2010
3OH!3 Featuring Ke$ha,3oh!3,3oh!3,1,My First Kiss,my+first+kiss,myfirstkiss,2010
Kelly Clarkson,kelly+clarkson,kellyclarkson,0,Already Gone,already+gone,alreadygone,2010
The Black Eyed Peas,the+black+eyed+peas,theblackeyedpeas,0,Rock That Body,rock+that+body,rockthatbody,2010
OneRepublic,onerepublic,onerepublic,0,Secrets,secrets,secrets,2010
Selena Gomez & The Scene,selena+gomez,selenagomez,1,Naturally,naturally,naturally,2010
Alicia Keys,alicia+keys,aliciakeys,0,Un-Thinkable (I'm Ready),un-thinkable+(i'm+ready),un-thinkable(i'mready),2010
"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",dj+khaled,djkhaled,1,All I Do Is Win,all+i+do+is+win,allidoiswin,2010
"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",kevin+rudolf,kevinrudolf,1,I Made It (Cash Money Heroes),i+made+it+(cash+money+heroes),imadeit(cashmoneyheroes),2010
Sugarland,sugarland,sugarland,0,Stuck Like Glue,stuck+like+glue,stucklikeglue,2010
Usher Featuring Plies,usher,usher,1,Hey Daddy (Daddy's Home),hey+daddy+(daddy's+home),heydaddy(daddy'shome),2010
Usher,usher,usher,0,There Goes My Baby,there+goes+my+baby,theregoesmybaby,2010
Taylor Swift,taylor+swift,taylorswift,0,Today Was A Fairytale,today+was+a+fairytale,todaywasafairytale,2010
Timbaland Featuring Drake,timbaland,timbaland,1,Say Something,say+something,saysomething,2010
Beyonce,beyonce,beyonce,0,Sweet Dreams,sweet+dreams,sweetdreams,2010
Kings Of Leon,kings+of+leon,kingsofleon,0,Use Somebody,use+somebody,usesomebody,2010
Carrie Underwood,carrie+underwood,carrieunderwood,0,Undo It,undo+it,undoit,2010
Sean Kingston & Justin Bieber,sean+kingston,seankingston,1,Eenie Meenie,eenie+meenie,eeniemeenie,2010
Lil Wayne Featuring Drake,lil+wayne,lilwayne,1,Right Above It,right+above+it,rightaboveit,2010
Miranda Lambert,miranda+lambert,mirandalambert,0,The House That Built Me,the+house+that+built+me,thehousethatbuiltme,2010
The Band Perry,the+band+perry,thebandperry,0,If I Die Young,if+i+die+young,ifidieyoung,2010
Paramore,paramore,paramore,0,The Only Exception,the+only+exception,theonlyexception,2010
Lady Antebellum,lady+antebellum,ladyantebellum,0,American Honey,american+honey,americanhoney,2010
Sara Bareilles,sara+bareilles,sarabareilles,0,King Of Anything,king+of+anything,kingofanything,2010
Daughtry,daughtry,daughtry,0,Life After You,life+after+you,lifeafteryou,2010
Uncle Kracker,uncle+kracker,unclekracker,0,Smile,smile,smile,2010
Cali Swag District,cali+swag+district,caliswagdistrict,0,Teach Me How To Dougie,teach+me+how+to+dougie,teachmehowtodougie,2010
Alicia Keys,alicia+keys,aliciakeys,0,Try Sleeping With A Broken Heart,try+sleeping+with+a+broken+heart,trysleepingwithabrokenheart,2010
Jerrod Niemann,jerrod+niemann,jerrodniemann,0,"Lover, Lover","lover,+lover","lover,lover",2010
The Black Eyed Peas,the+black+eyed+peas,theblackeyedpeas,0,Boom Boom Pow,boom+boom+pow,boomboompow,2009
Lady Gaga,lady+gaga,ladygaga,0,Poker Face,poker+face,pokerface,2009
Lady Gaga Featuring Colby O'Donis,lady+gaga,ladygaga,1,Just Dance,just+dance,justdance,2009
The Black Eyed Peas,the+black+eyed+peas,theblackeyedpeas,0,I Gotta Feeling,i+gotta+feeling,igottafeeling,2009
Taylor Swift,taylor+swift,taylorswift,0,Love Story,love+story,lovestory,2009
Flo Rida,flo+rida,florida,0,Right Round,right+round,rightround,2009
Jason Mraz,jason+mraz,jasonmraz,0,I'm Yours,i'm+yours,i'myours,2009
Beyonce,beyonce,beyonce,0,Single Ladies (Put A Ring On It),single+ladies+(put+a+ring+on+it),singleladies(putaringonit),2009
Kanye West,kanye+west,kanyewest,0,Heartless,heartless,heartless,2009
The All-American Rejects,the+all-american+rejects,theall-americanrejects,0,Gives You Hell,gives+you+hell,givesyouhell,2009
Taylor Swift,taylor+swift,taylorswift,0,You Belong With Me,you+belong+with+me,youbelongwithme,2009
T.I. Featuring Justin Timberlake,t.i.,t.i.,1,Dead And Gone,dead+and+gone,deadandgone,2009
The Fray,the+fray,thefray,0,You Found Me,you+found+me,youfoundme,2009
Kings Of Leon,kings+of+leon,kingsofleon,0,Use Somebody,use+somebody,usesomebody,2009
Keri Hilson Featuring Kanye West & Ne-Yo,keri+hilson,kerihilson,1,Knock You Down,knock+you+down,knockyoudown,2009
Jamie Foxx Featuring T-Pain,jamie+foxx,jamiefoxx,1,Blame It,blame+it,blameit,2009
Pitbull,pitbull,pitbull,0,I Know You Want Me (Calle Ocho),i+know+you+want+me+(calle+ocho),iknowyouwantme(calleocho),2009
T.I. Featuring Rihanna,t.i.,t.i.,1,Live Your Life,live+your+life,liveyourlife,2009
Soulja Boy Tell 'em Featuring Sammie,soulja+boy+tell+'em,souljaboytell'em,1,Kiss Me Thru The Phone,kiss+me+thru+the+phone,kissmethruthephone,2009
Jay Sean Featuring Lil Wayne,jay+sean,jaysean,1,Down,down,down,2009
Miley Cyrus,miley+cyrus,mileycyrus,0,The Climb,the+climb,theclimb,2009
Drake,drake,drake,0,Best I Ever Had,best+i+ever+had,bestieverhad,2009
Kelly Clarkson,kelly+clarkson,kellyclarkson,0,My Life Would Suck Without You,my+life+would+suck+without+you,mylifewouldsuckwithoutyou,2009
Beyonce,beyonce,beyonce,0,Halo,halo,halo,2009
Katy Perry,katy+perry,katyperry,0,Hot N Cold,hot+n+cold,hotncold,2009
Shinedown,shinedown,shinedown,0,Second Chance,second+chance,secondchance,2009
Britney Spears,britney+spears,britneyspears,0,Circus,circus,circus,2009
Kid Cudi,kid+cudi,kidcudi,0,Day 'N' Nite,day+'n'+nite,day'n'nite,2009
Miley Cyrus,miley+cyrus,mileycyrus,0,Party In The U.S.A.,party+in+the+u.s.a.,partyintheu.s.a.,2009
3OH!3,3oh!3,3oh!3,0,Don't Trust Me,don't+trust+me,don'ttrustme,2009
"Jay-Z, Rihanna & Kanye West","jay-z,+rihanna","jay-z,rihanna",1,Run This Town,run+this+town,runthistown,2009
Kevin Rudolf Featuring Lil Wayne,kevin+rudolf,kevinrudolf,1,Let It Rock,let+it+rock,letitrock,2009
Sean Kingston,sean+kingston,seankingston,0,Fire Burning,fire+burning,fireburning,2009
Jason Derulo,jason+derulo,jasonderulo,0,Whatcha Say,whatcha+say,whatchasay,2009
Lady Gaga,lady+gaga,ladygaga,0,LoveGame,lovegame,lovegame,2009
Katy Perry,katy+perry,katyperry,0,Waking Up In Vegas,waking+up+in+vegas,wakingupinvegas,2009
Jeremih,jeremih,jeremih,0,Birthday Sex,birthday+sex,birthdaysex,2009
P!nk,p!nk,p!nk,0,Sober,sober,sober,2009
Britney Spears,britney+spears,britneyspears,0,Womanizer,womanizer,womanizer,2009
T.I.,t.i.,t.i.,0,Whatever You Like,whatever+you+like,whateveryoulike,2009
