artist,artist_genre_scrape,artist_lyric_scape,collaboration,song,song_genre_scrape,song_lyric_scrape,year
Gucci Mane Featuring Drake,gucci+mane,guccimane,1,Both,both,both,2017
P!nk,p!nk,p!nk,0,What About Us,what+about+us,whataboutus,2017
Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,jason+derulo,jasonderulo,1,Swalla,swalla,swalla,2017
Migos Featuring Gucci Mane,migos,migos,1,Slippery,slippery,slippery,2017
Harry Styles,harry+styles,harrystyles,0,Sign Of The Times,sign+of+the+times,signofthetimes,2017
Adele,adele,adele,0,Water Under The Bridge,water+under+the+bridge,waterunderthebridge,2017
Miley Cyrus,miley+cyrus,mileycyrus,0,Malibu,malibu,malibu,2017
Marian Hill,marian+hill,marianhill,0,Down,down,down,2017
Cheat Codes Featuring Demi Lovato,cheat+codes,cheatcodes,1,No Promises,no+promises,nopromises,2017
Shawn Mendes,shawn+mendes,shawnmendes,0,Treat You Better,treat+you+better,treatyoubetter,2017
Gucci Mane Featuring Migos,gucci+mane,guccimane,1,I Get The Bag,i+get+the+bag,igetthebag,2017
Dustin Lynch,dustin+lynch,dustinlynch,0,Small Town Boy,small+town+boy,smalltownboy,2017
YFN Lucci Featuring PnB Rock,yfn+lucci,yfnlucci,1,Everyday We Lit,everyday+we+lit,everydaywelit,2017
Camila Cabello Featuring Young Thug,camila+cabello,camilacabello,1,Havana,havana,havana,2017
Maroon 5 Featuring SZA,maroon+5,maroon5,1,What Lovers Do,what+lovers+do,whatloversdo,2017
Blackbear,blackbear,blackbear,0,Do Re Mi,do+re+mi,doremi,2017
XXXTENTACION,xxxtentacion,xxxtentacion,0,Look At Me!,look+at+me!,lookatme!,2017
Keith Urban Featuring Carrie Underwood,keith+urban,keithurban,1,The Fighter,the+fighter,thefighter,2017
Justin Bieber,justin+bieber,justinbieber,0,Love Yourself,love+yourself,loveyourself,2016
Justin Bieber,justin+bieber,justinbieber,0,Sorry,sorry,sorry,2016
Drake Featuring WizKid & Kyla,drake,drake,1,One Dance,one+dance,onedance,2016
Rihanna Featuring Drake,rihanna,rihanna,1,Work,work,work,2016
twenty one pilots,twenty+one+pilots,twentyonepilots,0,Stressed Out,stressed+out,stressedout,2016
Desiigner,desiigner,desiigner,0,Panda,panda,panda,2016
Adele,adele,adele,0,Hello,hello,hello,2016
The Chainsmokers Featuring Daya,the+chainsmokers,thechainsmokers,1,Don't Let Me Down,don't+let+me+down,don'tletmedown,2016
Justin Timberlake,justin+timberlake,justintimberlake,0,Can't Stop The Feeling!,can't+stop+the+feeling!,can'tstopthefeeling!,2016
The Chainsmokers Featuring Halsey,the+chainsmokers,thechainsmokers,1,Closer,closer,closer,2016
Sia Featuring Sean Paul,sia,sia,1,Cheap Thrills,cheap+thrills,cheapthrills,2016
Lukas Graham,lukas+graham,lukasgraham,0,7 Years,7+years,7years,2016
Rihanna,rihanna,rihanna,0,Needed Me,needed+me,neededme,2016
Flo Rida,flo+rida,florida,0,My House,my+house,myhouse,2016
Mike Posner,mike+posner,mikeposner,0,I Took A Pill In Ibiza,i+took+a+pill+in+ibiza,itookapillinibiza,2016
Fifth Harmony Featuring Ty Dolla $ign,fifth+harmony,fifthharmony,1,Work From Home,work+from+home,workfromhome,2016
Calvin Harris Featuring Rihanna,calvin+harris,calvinharris,1,This Is What You Came For,this+is+what+you+came+for,thisiswhatyoucamefor,2016
DNCE,dnce,dnce,0,Cake By The Ocean,cake+by+the+ocean,cakebytheocean,2016
G-Eazy x Bebe Rexha,g-eazy+x+bebe+rexha,g-eazyxbeberexha,0,"Me, Myself & I","me,+myself+&+i","me,myself&i",2016
twenty one pilots,twenty+one+pilots,twentyonepilots,0,Ride,ride,ride,2016
twenty one pilots,twenty+one+pilots,twentyonepilots,0,Heathens,heathens,heathens,2016
Zayn,zayn,zayn,0,Pillowtalk,pillowtalk,pillowtalk,2016
Shawn Mendes,shawn+mendes,shawnmendes,0,Stitches,stitches,stitches,2016
Drake,drake,drake,0,Hotline Bling,hotline+bling,hotlinebling,2016
Major Lazer Featuring Justin Bieber & MO,major+lazer,majorlazer,1,Cold Water,cold+water,coldwater,2016
Adele,adele,adele,0,Send My Love (To Your New Lover),send+my+love+(to+your+new+lover),sendmylove(toyournewlover),2016
The Chainsmokers Featuring Rozes,the+chainsmokers,thechainsmokers,1,Roses,roses,roses,2016
Shawn Mendes,shawn+mendes,shawnmendes,0,Treat You Better,treat+you+better,treatyoubetter,2016
