artist,collaboration,country_tfidf_score,curse_flag,dirtiness_score,genre,hip_hop_tfidf_score,pop_tfidf_score,rock_tfidf_score,song,total_lyrics,unique_words,whiskey_flag,year
The Weeknd,1,0.26,1,1,hip-hop,0.34,0.3,0.24,The Hills,519,136,0,2015
OMI,0,0.34,0,0,pop,0.36,0.42,0.26,Cheerleader,410,142,0,2015
The Weeknd,1,0.18,0,0,pop,0.16,0.2,0.14,Can't Feel My Face,408,63,0,2015
Ellie Goulding,0,0.26,0,0,pop,0.22,0.3,0.22,Love Me Like You Do,399,89,0,2015
Hozier,0,0.18,0,0,pop,0.2,0.26,0.16,Take Me To Church,341,155,0,2015
Taylor Swift Featuring Kendrick Lamar,1,0.26,0,0,pop,0.34,0.36,0.26,Bad Blood,514,116,0,2015
Major Lazer & DJ Snake Featuring MO,1,0.12,0,0,pop,0.1,0.1,0.12,Lean On,240,80,0,2015
Jason Derulo,0,0.2,0,0,pop,0.2,0.2,0.08,Want To Want Me,427,80,0,2015
Taylor Swift,0,0.3,0,0,pop,0.3,0.4,0.28,Shake It Off,635,113,0,2015
Rachel Platten,0,0.22,0,0,pop,0.22,0.3,0.22,Fight Song,362,108,0,2015
Fetty Wap Featuring Remy Boyz,1,0.2,1,2,hip-hop,0.36,0.24,0.14,679,271,132,0,2015
Meghan Trainor,0,0.3,0,0,pop,0.34,0.36,0.24,Lips Are Movin,512,118,0,2015
Fifth Harmony Featuring Kid Ink,1,0.28,0,0,pop,0.34,0.36,0.24,Worth It,670,109,0,2015
Omarion Featuring Chris Brown & Jhene Aiko,1,0.44,1,3,hip-hop,0.5,0.36,0.24,Post To Be,707,178,0,2015
Andy Grammer,0,0.22,1,1,pop,0.22,0.26,0.18,"Honey, I'm Good",436,98,0,2015
Sam Smith,0,0.16,0,0,pop,0.18,0.24,0.18,I'm Not The Only One,279,92,0,2015
Selena Gomez Featuring A$AP Rocky,1,0.4,1,2,pop,0.42,0.44,0.26,Good For You,512,147,0,2015
Meghan Trainor,0,0.34,1,1,pop,0.38,0.4,0.22,All About That Bass,531,116,0,2015
Taylor Swift,0,0.26,0,0,pop,0.28,0.32,0.26,Style,382,122,0,2015
Drake,0,0.28,0,0,hip-hop,0.3,0.32,0.22,Hotline Bling,459,129,0,2015
"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",1,0.4,1,2,pop,0.46,0.4,0.26,Hey Mama,552,142,0,2015
Flo Rida Featuring Sage The Gemini & Lookas,1,0.22,1,1,hip-hop,0.34,0.22,0.16,G.D.F.R.,478,156,0,2015
Justin Bieber,0,0.28,0,0,pop,0.34,0.4,0.18,What Do You Mean?,473,96,0,2015
Ed Sheeran,0,0.2,0,0,pop,0.16,0.24,0.18,Photograph,312,119,0,2015
Adele,0,0.08,0,0,pop,0.14,0.2,0.16,Hello,397,119,0,2015
Shawn Mendes,0,0.24,0,0,pop,0.24,0.26,0.2,Stitches,355,107,0,2015
Tove Lo,0,0.32,1,1,pop,0.28,0.36,0.22,Talking Body,485,97,0,2015
Nick Jonas,0,0.26,0,0,pop,0.22,0.32,0.18,Jealous,379,95,0,2015
Pitbull & Ne-Yo,1,0.44,1,1,pop,0.42,0.48,0.3,Time Of Our Lives,548,192,0,2015
R. City Featuring Adam Levine,1,0.32,0,0,pop,0.38,0.42,0.22,Locked Away,607,123,0,2015
Natalie La Rose Featuring Jeremih,1,0.32,0,0,hip-hop,0.36,0.44,0.3,Somebody,503,88,0,2015
Rihanna & Kanye West & Paul McCartney,1,0.24,0,0,pop,0.34,0.34,0.2,FourFiveSeconds,341,126,0,2015
Fall Out Boy,0,0.14,0,0,rock,0.14,0.22,0.32,Centuries,462,118,0,2015
Fetty Wap Featuring Monty,1,0.32,1,6,hip-hop,0.52,0.36,0.18,My Way,456,176,0,2015
Sam Hunt,0,0.38,0,0,pop,0.36,0.44,0.34,Take Your Time,446,144,0,2015
Maroon 5,0,0.24,0,0,pop,0.24,0.28,0.2,Animals,506,101,0,2015
Big Sean Featuring E-40,1,0.4,1,7,hip-hop,0.6,0.48,0.3,I Don't Fuck With You,1022,291,0,2015
Rihanna,0,0.1,1,3,hip-hop,0.22,0.16,0.12,Bitch Better Have My Money,399,96,0,2015
Rich Homie Quan,0,0.32,1,5,hip-hop,0.52,0.32,0.28,Flex,530,170,0,2015
T-Wayne,1,0.36,1,7,hip-hop,0.58,0.46,0.26,Nasty Freestyle,385,207,0,2015
"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",1,0.4,1,8,hip-hop,0.7,0.5,0.34,Only,799,341,0,2015
Sia,0,0.24,0,0,pop,0.24,0.3,0.16,Elastic Heart,362,105,0,2015
Demi Lovato,0,0.26,1,1,pop,0.28,0.34,0.16,Cool For The Summer,370,80,0,2015
X Ambassadors,0,0.12,0,0,rock,0.1,0.16,0.16,Renegades,157,61,0,2015
Usher Featuring Juicy J,1,0.28,1,5,hip-hop,0.44,0.42,0.26,I Don't Mind,704,198,0,2015
Ariana Grande & The Weeknd,1,0.34,0,0,pop,0.36,0.38,0.24,Love Me Harder,460,93,0,2015
Taylor Swift,0,0.22,0,0,pop,0.18,0.28,0.2,Wildest Dreams,374,115,0,2015
Sam Smith,0,0.2,0,0,pop,0.24,0.24,0.16,Stay With Me,205,67,0,2015
