artist,collaboration,country_tfidf_score,curse_flag,dirtiness_score,genre,hip_hop_tfidf_score,pop_tfidf_score,rock_tfidf_score,song,total_lyrics,unique_words,whiskey_flag,year
Justin Bieber,0,0.36,0,0,pop,0.54,0.44,0.3,Boyfriend,447,125,0,2012
LMFAO Featuring Lauren Bennett & GoonRock,1,0.38,0,0,pop,0.32,0.36,0.26,Party Rock Anthem,436,139,0,2012
Alex Clare,0,0.22,0,0,pop,0.26,0.28,0.22,Too Close,303,81,0,2012
Katy Perry,0,0.18,0,0,pop,0.18,0.18,0.12,Part Of Me,425,97,0,2012
Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,1,0.28,1,2,hip-hop,0.36,0.28,0.22,"Young, Wild & Free",465,216,0,2012
Taylor Swift,0,0.28,0,0,pop,0.32,0.4,0.3,We Are Never Ever Getting Back Together,383,113,0,2012
Justin Bieber Featuring Big Sean,1,0.32,0,0,pop,0.36,0.46,0.32,As Long As You Love Me,675,163,0,2012
David Guetta Featuring Nicki Minaj,1,0.3,0,0,pop,0.28,0.38,0.24,Turn Me On,445,86,0,2012
Maroon 5 Featuring Christina Aguilera,1,0.38,1,1,pop,0.36,0.44,0.22,Moves Like Jagger,482,123,0,2012
P!nk,1,0.16,1,2,pop,0.22,0.28,0.2,Blow Me (One Last Kiss),671,145,1,2012
Owl City & Carly Rae Jepsen,1,0.22,0,0,pop,0.22,0.26,0.2,Good Time,400,87,0,2012
Demi Lovato,0,0.28,0,0,pop,0.3,0.38,0.28,Give Your Heart A Break,458,122,0,2012
Jay Z Kanye West,1,0.34,1,5,hip-hop,0.46,0.38,0.3,Niggas In Paris,587,241,0,2012
Katy Perry,0,0.16,0,0,pop,0.18,0.24,0.14,The One That Got Away,330,117,0,2012
Calvin Harris,0,0.08,0,0,pop,0.06,0.1,0.04,Feel So Close,143,37,0,2012
Adele,0,0.16,0,0,pop,0.16,0.22,0.18,Someone Like You,365,121,0,2012
Usher,0,0.36,0,0,pop,0.38,0.48,0.24,Scream,451,108,0,2012
Tyga,0,0.24,1,7,hip-hop,0.42,0.3,0.14,Rack City,327,141,0,2012
Jessie J,0,0.3,0,0,pop,0.3,0.34,0.22,Domino,430,99,0,2012
PSY,0,0.16,0,0,pop,0.18,0.2,0.12,Gangnam Style,617,167,0,2012
Pitbull Featuring Chris Brown,1,0.34,0,0,pop,0.3,0.44,0.32,International Love,588,194,0,2012
Phillip Phillips,0,0.22,0,0,country,0.14,0.16,0.18,Home,191,68,0,2012
David Guetta Featuring Usher,1,0.1,0,0,pop,0.12,0.16,0.06,Without You,200,62,0,2012
Gym Class Heroes Featuring Neon Hitch,1,0.22,1,1,pop,0.28,0.26,0.3,Ass Back Home,503,167,0,2012
Hunter Hayes,0,0.34,0,0,country,0.32,0.36,0.22,Wanted,281,86,0,2012
Luke Bryan,0,0.32,0,0,country,0.2,0.24,0.14,Drunk On You,322,121,0,2012
2 Chainz Featuring Drake,1,0.28,1,7,hip-hop,0.54,0.4,0.22,No Lie,804,241,0,2012
Cher Lloyd,0,0.42,0,0,pop,0.4,0.54,0.32,Want U Back,664,175,0,2012
Chris Brown,0,0.08,0,0,hip-hop,0.12,0.16,0.06,Don't Wake Me Up,174,77,0,2012
Big Sean Featuring Nicki Minaj,1,0.22,1,6,hip-hop,0.4,0.28,0.16,Dance (A$$),398,161,0,2012
Eric Church,0,0.22,0,0,country,0.16,0.2,0.14,Springsteen,320,154,0,2012
Karmin,0,0.34,0,0,pop,0.36,0.44,0.26,Brokenhearted,458,148,0,2012
Gavin DeGraw,0,0.12,0,0,pop,0.12,0.16,0.06,Not Over You,354,116,0,2012
Gym Class Heroes Featuring Adam Levine,1,0.36,0,0,hip-hop,0.36,0.42,0.3,Stereo Hearts,589,185,0,2012
Pitbull,0,0.26,0,0,hip-hop,0.24,0.3,0.18,Back In Time,380,141,0,2012
J. Cole,1,0.54,1,3,hip-hop,0.64,0.54,0.32,Work Out,762,191,0,2012
Adele,0,0.2,0,0,pop,0.26,0.3,0.24,Rumour Has It,279,104,0,2012
Calvin Harris Featuring Ne-Yo,1,0.12,0,0,pop,0.14,0.16,0.1,Let's Go,231,42,0,2012
Carrie Underwood,0,0.38,0,0,pop,0.36,0.42,0.24,Good Girl,398,117,0,2012
Little Big Town,0,0.18,0,0,country,0.12,0.14,0.08,Pontoon,254,104,0,2012
The Lumineers,1,0.18,0,0,rock,0.18,0.24,0.26,Ho Hey,236,85,0,2012
Coldplay,0,0.12,0,0,pop,0.14,0.18,0.12,Paradise,239,65,0,2012
Carrie Underwood,0,0.04,0,0,country,0.02,0.02,0.02,Blown Away,267,88,1,2012
Adele,0,0.14,1,1,pop,0.16,0.24,0.22,Rolling In The Deep,595,128,0,2012
Usher,0,0.12,0,0,pop,0.16,0.2,0.14,Climax,327,92,0,2012
Wiz Khalifa,0,0.36,1,7,hip-hop,0.54,0.4,0.28,"Work Hard, Play Hard",674,192,0,2012
Ne-Yo,1,0.28,0,0,hip-hop,0.28,0.34,0.22,Let Me Love You (Until You Learn To Love Yourself),448,84,0,2012
Nicki Minaj,0,0.34,1,1,pop,0.3,0.36,0.22,Pound The Alarm,325,100,0,2012
Kenny Chesney,0,0.18,0,0,country,0.2,0.24,0.14,Come Over,277,87,0,2012
Trey Songz,0,0.2,0,0,hip-hop,0.24,0.26,0.14,Heart Attack,414,108,0,2012
Kirko Bangz,0,0.44,1,4,hip-hop,0.58,0.42,0.22,Drank In My Cup,500,182,0,2012
Rihanna Featuring Chris Brown,1,0.26,1,2,pop,0.3,0.28,0.16,Birthday Cake,214,67,0,2012
B.o.B,1,0.3,0,0,pop,0.32,0.36,0.26,So Good,547,191,0,2012
Train,0,0.22,0,0,pop,0.22,0.28,0.14,50 Ways To Say Goodbye,414,131,0,2012
Toby Keith,0,0.16,1,1,country,0.14,0.14,0.18,Red Solo Cup,334,129,0,2012
Selena Gomez & The Scene,1,0.24,0,0,pop,0.2,0.26,0.14,Love You Like A Love Song,403,92,0,2012
Chris Brown,0,0.22,0,0,pop,0.22,0.24,0.12,Turn Up The Music,642,67,0,2012
Ke$ha,1,0.28,0,0,pop,0.26,0.34,0.24,Die Young,431,105,0,2012
T-Pain Featuring Wiz Khalifa & Lily Allen,1,0.42,1,1,hip-hop,0.46,0.5,0.3,5 O'Clock,920,209,0,2012
Christina Perri,0,0.12,0,0,pop,0.12,0.16,0.12,A Thousand Years,242,85,0,2012
Jason Aldean,0,0.36,0,0,country,0.22,0.26,0.1,Take A Little Ride,352,136,0,2012
Rihanna,0,0.26,1,1,pop,0.34,0.4,0.22,You Da One,509,100,0,2012
Havana Brown Featuring Pitbull,1,0.16,0,0,pop,0.12,0.2,0.1,We Run The Night,329,81,0,2012
Imagine Dragons,0,0.18,0,0,pop,0.18,0.22,0.14,It's Time,353,94,0,2012
Ca$h Out,1,0.34,1,3,hip-hop,0.38,0.3,0.2,Cashin' Out,873,187,0,2012
Luke Bryan,0,0.36,0,0,country,0.28,0.32,0.18,Don't Want This Night To End,378,118,0,2012
Rihanna,0,0.14,0,0,pop,0.1,0.18,0.08,Diamonds,383,68,1,2012
Lee Brice,0,0.2,0,0,country,0.26,0.28,0.18,Hard To Love,341,79,0,2012
Kip Moore,0,0.28,0,0,country,0.22,0.24,0.16,Somethin' 'Bout A Truck,335,104,0,2012
Miguel,0,0.32,0,0,hip-hop,0.3,0.38,0.22,Adorn,266,82,0,2012
Jason Aldean,0,0.2,1,1,country,0.22,0.24,0.12,Fly Over States,250,153,0,2012
Eli Young Band,0,0.26,0,0,country,0.16,0.18,0.08,Even If It Breaks Your Heart,222,94,0,2012
Linkin Park,0,0.1,0,0,rock,0.08,0.1,0.1,Burn It Down,299,83,0,2012
